Table Name : Orderdetails 
Attributes : (`customerNumber`,`orderNumber`,`productCode`,`quantityOrdered`,`priceEach`,`orderLineNumber`)
(348,10316,'S700_2047',45,'73.32',13),
(181,10304,'S18_2325',24,'102.98',17),
(202,10103,'S12_1666',27,'121.64',8),
(198,10413,'S12_1108',36,'201.57',2),
(344,10301,'S18_2870',22,'113.52',5),
(462,10410,'S18_1342',65,'99.66',7),
(334,10255,'S18_2795',24,'135.00',1),
(121,10260,'S12_1108',46,'180.79',5),
(187,10215,'S18_3320',41,'84.33',8),
(204,10131,'S24_3420',29,'52.60',6),
(204,10358,'S18_2238',20,'142.45',10),
(198,10208,'S12_3891',20,'152.26',12),
(181,10359,'S32_3207',22,'62.14',1),
(298,10206,'S12_1666',28,'109.34',3),
(357,10241,'S24_3191',26,'69.34',7),
(216,10327,'S700_3962',37,'83.42',3),
(129,10223,'S18_2625',28,'58.75',5),
(489,10108,'S24_3371',30,'60.01',5),
(219,10103,'S24_2300',36,'107.34',1),
(286,10386,'S24_1785',33,'101.76',11),
(157,10114,'S18_4600',41,'105.34',9),
(481,10210,'S50_1341',43,'43.20',11),
(356,10183,'S10_4962',28,'127.06',1),
(250,10296,'S24_3420',31,'63.78',9),
(167,10344,'S18_4933',26,'68.42',5),
(443,10411,'S32_3522',27,'60.76',5),
(311,10407,'S18_4409',6,'91.11',3),
(448,10253,'S12_3380',22,'102.17',11),
(278,10240,'S18_3685',37,'134.22',1),
(452,10197,'S700_2047',24,'78.75',2),
(459,10296,'S50_1341',26,'41.02',1),
(443,10411,'S18_4668',35,'41.25',7),
(166,10343,'S18_1589',36,'109.51',4),
(323,10348,'S700_2824',32,'100.14',7),
(219,10313,'S18_3232',25,'143.94',3),
(357,10165,'S50_1392',48,'106.49',10),
(456,10192,'S18_1589',29,'100.80',7),
(321,10390,'S18_3278',40,'75.59',9),
(240,10304,'S32_3522',36,'52.36',2),
(481,10371,'S24_2300',20,'126.51',5),
(177,10141,'S32_2509',24,'53.03',7),
(314,10105,'S700_2610',31,'60.72',3),
(473,10358,'S18_2319',20,'99.41',11),
(480,10369,'S18_1367',32,'46.36',7),
(276,10386,'S700_2466',37,'90.75',14),
(128,10239,'S18_1889',46,'70.07',4),
(347,10197,'S24_3816',22,'67.93',5),
(121,10275,'S18_2581',35,'70.12',9),
(381,10339,'S24_1578',27,'96.92',10),
(239,10331,'S18_1589',44,'99.55',14),
(103,10215,'S18_3136',49,'89.01',5),
(385,10237,'S50_4713',20,'78.92',3),
(307,10341,'S12_3380',44,'111.57',1),
(256,10212,'S18_1889',20,'64.68',14),
(443,10393,'S32_1268',38,'84.75',4),
(361,10414,'S700_1138',37,'62.00',6),
(233,10234,'S24_2841',44,'67.14',2),
(121,10253,'S18_3232',40,'145.63',6),
(256,10275,'S18_2625',37,'52.09',5),
(201,10135,'S18_4721',31,'133.92',12),
(473,10231,'S12_3891',49,'147.07',1),
(209,10401,'S700_4002',40,'66.63',11),
(145,10109,'S18_3232',46,'160.87',5),
(256,10131,'S24_3949',50,'54.59',3),
(311,10303,'S18_2248',46,'56.91',2),
(459,10403,'S10_4698',66,'174.29',9),
(314,10165,'S12_1108',44,'168.32',3),
(219,10360,'S18_3029',46,'71.40',14),
(382,10282,'S12_1108',41,'176.63',5),
(112,10249,'S700_2047',40,'85.99',4),
(173,10337,'S24_2011',29,'119.20',4),
(273,10371,'S24_4048',28,'95.81',9),
(381,10129,'S700_1138',31,'58.67',5),
(480,10422,'S18_1367',25,'47.44',1),
(201,10163,'S24_4258',42,'96.42',5),
(379,10349,'S18_4027',34,'140.75',5),
(171,10208,'S18_3259',48,'96.81',11),
(328,10311,'S18_1589',29,'124.44',9),
(166,10419,'S24_3856',70,'112.34',8),
(424,10254,'S18_4409',34,'80.99',6),
(186,10413,'S18_4027',49,'133.57',5),
(276,10331,'S18_1984',30,'135.14',8),
(151,10378,'S32_2206',40,'35.80',1),
(157,10308,'S700_2834',31,'100.85',6),
(357,10217,'S24_2300',28,'103.51',1),
(216,10296,'S24_2841',21,'60.97',8),
(334,10169,'S12_2823',35,'126.52',13),
(186,10106,'S18_3856',41,'94.22',17),
(307,10373,'S24_3949',39,'62.10',13),
(424,10362,'S24_1578',50,'91.29',2),
(293,10176,'S12_1108',33,'166.24',2),
(276,10391,'S18_1097',29,'114.34',10),
(465,10225,'S18_3482',27,'119.06',11),
(424,10281,'S32_3522',36,'59.47',12),
(369,10176,'S24_4048',29,'101.72',7),
(353,10358,'S18_3232',32,'137.17',12),
(256,10137,'S18_2870',37,'110.88',3),
(299,10198,'S18_1662',42,'149.81',4),
(452,10382,'S12_1108',34,'166.24',10),
(227,10117,'S24_2011',41,'119.20',3),
(477,10258,'S32_3522',20,'62.70',2),
(335,10123,'S18_3685',34,'117.26',4),
(415,10386,'S18_1662',25,'130.88',7),
(398,10369,'S18_3136',21,'90.06',5),
(356,10148,'S24_3432',27,'96.37',7),
(286,10301,'S24_3432',22,'86.73',2),
(250,10207,'S32_3207',45,'55.30',2),
(157,10396,'S12_3891',33,'155.72',3),
(385,10148,'S24_1628',47,'46.29',8),
(323,10177,'S18_3140',23,'113.37',9),
(376,10128,'S18_3259',41,'80.67',4),
(282,10180,'S24_4620',28,'68.71',1),
(286,10285,'S24_1578',34,'91.29',7),
(256,10129,'S24_2011',45,'113.06',9),
(298,10292,'S32_3207',31,'59.65',3),
(125,10182,'S18_2248',38,'54.49',9),
(314,10266,'S24_3371',47,'56.33',13),
(144,10100,'S18_2248',50,'55.09',2),
(398,10355,'S24_4620',28,'75.18',9),
(112,10124,'S24_3191',49,'76.19',11),
(339,10342,'S18_1129',40,'118.89',2),
(129,10306,'S12_3891',20,'145.34',12),
(173,10332,'S18_4933',21,'70.56',3),
(187,10265,'S18_3278',45,'74.78',2),
(459,10398,'S18_2581',34,'82.79',15),
(173,10322,'S18_2949',33,'100.30',12),
(276,10195,'S32_2509',32,'51.95',8),
(273,10120,'S18_2581',29,'82.79',8),
(450,10153,'S700_1938',31,'80.55',8),
(282,10121,'S32_4485',25,'95.93',3),
(356,10117,'S12_3891',39,'173.02',8),
(447,10113,'S32_3522',23,'58.82',1),
(452,10209,'S10_4757',39,'129.20',8),
(128,10326,'S700_1138',39,'60.67',1),
(205,10411,'S10_4962',27,'144.79',2),
(362,10168,'S700_4002',39,'67.37',17),
(205,10227,'S18_2248',28,'59.93',9),
(129,10412,'S18_3232',60,'157.49',9),
(459,10168,'S700_1691',28,'91.34',14),
(475,10412,'S24_1444',21,'47.40',2),
(239,10313,'S10_4962',40,'141.83',7),
(129,10341,'S700_3167',34,'70.40',5),
(237,10196,'S18_3140',49,'127.03',1),
(339,10203,'S12_1099',20,'161.49',8),
(187,10173,'S18_3136',31,'86.92',1),
(424,10203,'S24_2972',21,'33.23',2),
(484,10223,'S32_4289',20,'66.73',12),
(276,10151,'S18_2432',39,'58.34',9),
(406,10353,'S700_1691',39,'73.07',9),
(242,10418,'S18_4721',28,'120.53',4),
(237,10361,'S24_3949',26,'61.42',7),
(223,10307,'S24_3816',22,'75.47',8),
(219,10306,'S32_3207',46,'60.28',17),
(129,10337,'S18_4522',29,'76.36',2),
(459,10272,'S50_1514',43,'53.89',4),
(206,10299,'S24_4620',32,'66.29',1),
(273,10224,'S32_4485',30,'94.91',5),
(278,10370,'S18_3232',27,'167.65',9),
(361,10143,'S24_2841',27,'63.71',8),
(172,10424,'S12_1666',49,'121.64',3),
(347,10235,'S24_1785',23,'89.72',5),
(412,10152,'S18_4027',35,'117.77',1),
(406,10344,'S18_1749',45,'168.30',1),
(379,10245,'S32_3522',44,'54.94',5),
(239,10145,'S24_1785',40,'87.54',16),
(480,10378,'S18_1589',34,'121.95',5),
(398,10271,'S50_1392',34,'93.76',3),
(369,10153,'S18_4522',22,'82.50',6),
(121,10330,'S18_3782',29,'59.06',2),
(161,10197,'S24_3151',47,'83.20',8),
(379,10340,'S700_2834',29,'98.48',6),
(204,10225,'S24_4620',46,'77.61',13),
(333,10299,'S32_4485',38,'84.70',7),
(128,10360,'S700_1138',32,'64.67',5),
(198,10280,'S18_1097',24,'98.00',1),
(353,10168,'S24_1785',49,'93.01',11),
(473,10192,'S18_2870',38,'110.88',8),
(237,10181,'S18_1889',22,'74.69',10),
(424,10107,'S10_2016',39,'105.86',5),
(186,10383,'S18_3259',26,'83.70',12),
(319,10238,'S24_3371',47,'53.88',2),
(181,10369,'S24_4258',40,'93.49',3),
(480,10250,'S700_4002',38,'65.89',12),
(465,10263,'S24_2000',37,'67.03',7),
(406,10119,'S24_3151',35,'72.58',13),
(103,10139,'S18_2957',20,'52.47',3),
(424,10358,'S24_2840',36,'33.59',4),
(321,10110,'S24_2022',39,'40.77',2),
(424,10334,'S18_2432',34,'52.87',1),
(173,10171,'S18_3232',39,'165.95',3),
(353,10241,'S24_1628',21,'47.29',10),
(320,10167,'S18_1662',43,'141.92',1),
(362,10191,'S12_3380',40,'104.52',1),
(486,10127,'S12_1108',46,'193.25',2),
(286,10271,'S12_4473',31,'99.54',5),
(307,10419,'S18_1129',38,'117.48',5),
(424,10222,'S18_1662',49,'137.19',4),
(298,10202,'S18_4721',43,'124.99',2),
(328,10412,'S32_2509',19,'50.86',7),
(181,10225,'S18_1889',47,'71.61',5),
(362,10147,'S12_3380',31,'110.39',5),
(348,10372,'S50_1514',24,'56.82',9),
(201,10142,'S50_1514',42,'56.24',14),
(114,10312,'S18_3136',38,'93.20',5),
(168,10221,'S18_3259',23,'89.75',5),
(298,10188,'S10_4698',45,'182.04',3),
(475,10202,'S32_2206',27,'33.39',4),
(477,10211,'S18_3482',28,'138.17',4),
(151,10125,'S18_1342',32,'89.38',1),
(242,10287,'S18_3482',40,'127.88',14),
(385,10192,'S24_3856',45,'112.34',14),
(121,10276,'S32_4485',38,'94.91',13),
(450,10142,'S700_1938',43,'77.08',9),
(321,10210,'S700_4002',42,'60.70',15),
(247,10227,'S18_2795',29,'146.81',4),
(148,10252,'S24_2360',47,'63.03',8),
(362,10307,'S72_1253',34,'44.20',4),
(486,10106,'S32_4289',33,'65.35',5),
(237,10261,'S24_2011',36,'105.69',8),
(260,10380,'S18_2795',21,'156.94',8),
(181,10373,'S72_3212',29,'48.05',1),
(471,10169,'S24_2360',38,'66.49',11),
(477,10107,'S24_2000',38,'73.12',7),
(206,10300,'S12_4675',23,'95.58',2),
(398,10275,'S50_1341',38,'40.15',13),
(311,10367,'S18_4933',44,'66.99',9),
(223,10316,'S24_1785',25,'93.01',1),
(477,10415,'S700_2047',32,'73.32',4),
(240,10169,'S18_3482',36,'136.70',4),
(484,10228,'S10_1949',29,'214.30',2),
(344,10369,'S18_1342',44,'89.38',8),
(189,10389,'S12_1099',26,'182.90',4),
(477,10148,'S18_1984',25,'136.56',12),
(128,10126,'S24_4258',34,'83.76',15),
(173,10197,'S24_2011',41,'109.37',13),
(189,10155,'S24_3949',44,'58.69',4),
(204,10350,'S50_1514',44,'56.82',17),
(131,10410,'S24_4258',50,'95.44',4),
(450,10280,'S18_2949',46,'82.06',3),
(356,10381,'S18_1097',48,'114.34',2),
(299,10351,'S24_2841',25,'64.40',5),
(353,10275,'S10_1678',45,'81.35',1),
(204,10288,'S18_4933',23,'57.02',7),
(211,10139,'S18_1367',49,'52.83',6),
(381,10399,'S18_2625',30,'51.48',4),
(456,10372,'S24_2011',37,'102.00',8),
(363,10193,'S18_4409',24,'92.03',15),
(486,10201,'S12_2823',25,'126.52',1),
(321,10257,'S24_4258',46,'81.81',4),
(112,10343,'S18_2870',25,'118.80',3),
(129,10183,'S18_4668',40,'42.26',6),
(381,10284,'S24_4278',21,'66.65',2),
(443,10341,'S24_2360',32,'63.03',6),
(456,10202,'S32_4485',31,'81.64',7),
(211,10203,'S12_3990',44,'63.84',9),
(344,10285,'S32_1374',37,'82.91',12),
(334,10249,'S72_1253',32,'49.16',3),
(475,10153,'S18_3259',29,'82.69',9),
(496,10149,'S24_1937',36,'31.20',7),
(321,10120,'S32_1374',22,'94.90',6),
(477,10195,'S18_2238',27,'139.17',5),
(175,10106,'S24_3420',31,'55.89',14),
(250,10157,'S32_4289',28,'56.41',6),
(242,10329,'S24_1578',30,'104.81',7),
(484,10139,'S18_1342',31,'89.38',7),
(484,10163,'S10_1949',21,'212.16',1),
(124,10336,'S24_4048',31,'113.55',5),
(209,10104,'S24_1444',35,'52.02',6),
(298,10143,'S700_2047',26,'87.80',11),
(161,10124,'S24_1937',45,'30.53',2),
(379,10228,'S18_1097',32,'100.34',1),
(475,10250,'S700_2834',44,'98.48',3),
(473,10392,'S18_2957',37,'61.21',3),
(452,10133,'S18_2581',49,'80.26',3),
(204,10180,'S12_2823',40,'131.04',8),
(145,10208,'S12_1108',46,'176.63',13),
(278,10375,'S10_1678',21,'76.56',12),
(161,10321,'S24_1628',48,'42.76',5),
(455,10212,'S24_1046',41,'61.73',3),
(298,10355,'S32_4485',40,'93.89',5),
(361,10148,'S18_1589',47,'108.26',9),
(456,10383,'S50_1392',29,'94.92',13),
(480,10420,'S18_4933',36,'68.42',7),
(320,10229,'S24_2300',48,'115.01',6),
(379,10371,'S32_3207',30,'53.44',11),
(211,10332,'S18_2325',35,'116.96',8),
(239,10250,'S24_3949',40,'61.42',13),
(333,10244,'S24_2022',39,'42.11',9),
(298,10354,'S12_1099',31,'157.60',9),
(250,10181,'S18_3278',30,'73.17',17),
(458,10208,'S12_3148',26,'128.42',14),
(239,10334,'S18_4600',49,'101.71',4),
(259,10293,'S18_3259',22,'91.76',6),
(273,10131,'S700_4002',26,'63.67',2),
(209,10159,'S32_2206',35,'39.43',9),
(172,10176,'S32_3207',22,'62.14',6),
(240,10311,'S18_4933',25,'66.99',2),
(480,10257,'S18_3320',26,'91.27',5),
(239,10193,'S24_1937',26,'32.19',10),
(240,10181,'S18_3232',45,'147.33',7),
(286,10418,'S18_3278',16,'70.76',2),
(379,10260,'S24_4048',23,'117.10',10),
(187,10150,'S18_4600',49,'111.39',2),
(409,10282,'S32_3207',36,'51.58',9),
(103,10167,'S72_1253',40,'42.71',4),
(477,10234,'S700_2047',29,'83.28',5),
(189,10323,'S18_4600',47,'96.86',1),
(206,10211,'S50_4713',40,'70.78',10),
(363,10356,'S24_1937',48,'31.86',5),
(181,10386,'S700_3505',45,'83.14',2),
(121,10296,'S72_1253',21,'46.68',10),
(477,10411,'S700_2824',34,'89.01',4),
(406,10375,'S12_2823',49,'150.62',13),
(299,10212,'S24_3191',27,'77.91',2),
(227,10195,'S32_3207',33,'59.03',1),
(456,10161,'S18_1129',28,'121.72',12),
(227,10153,'S72_3212',50,'51.87',4),
(311,10273,'S700_3505',40,'91.15',8),
(233,10217,'S700_2824',31,'90.02',6),
(448,10293,'S700_1938',29,'77.95',5),
(204,10420,'S24_3191',35,'77.05',10),
(307,10379,'S18_3685',32,'134.22',4),
(320,10370,'S18_1097',27,'100.34',1),
(415,10135,'S18_3482',42,'139.64',9),
(219,10279,'S24_2766',49,'76.33',3),
(314,10143,'S24_3816',23,'74.64',14),
(486,10316,'S72_1253',34,'43.70',12),
(473,10306,'S700_3505',32,'99.17',4),
(175,10184,'S12_4473',37,'105.47',6),
(379,10357,'S18_3136',44,'104.72',4),
(299,10414,'S24_3151',60,'72.58',5),
(406,10147,'S12_3990',21,'74.21',8),
(335,10232,'S18_3259',48,'97.81',8),
(496,10284,'S18_2581',31,'68.43',1),
(487,10110,'S24_2887',46,'112.74',10),
(172,10175,'S12_4473',26,'109.02',1),
(119,10324,'S24_1444',25,'49.71',14),
(205,10314,'S700_1938',23,'83.15',2),
(495,10355,'S32_2206',38,'32.99',10),
(223,10193,'S18_1342',28,'92.47',7),
(211,10259,'S18_2319',34,'120.28',7),
(202,10225,'S12_1099',27,'157.60',9),
(299,10239,'S24_3856',29,'133.41',3),
(278,10243,'S24_1937',33,'30.87',1),
(237,10165,'S50_1514',38,'49.21',5),
(335,10331,'S24_2972',27,'37.00',13),
(299,10315,'S700_3962',37,'88.39',4),
(362,10152,'S24_4048',23,'112.37',3),
(363,10304,'S24_1937',23,'29.21',16),
(412,10375,'S32_4485',41,'96.95',15),
(412,10209,'S18_3029',28,'82.58',6),
(112,10298,'S10_2016',39,'105.86',1),
(353,10222,'S10_4757',49,'133.28',12),
(175,10254,'S18_4933',30,'59.87',7),
(151,10360,'S18_4522',40,'76.36',1),
(173,10155,'S700_3167',43,'76.80',1),
(169,10322,'S18_2325',50,'120.77',6),
(362,10375,'S24_2360',20,'60.26',14),
(223,10253,'S12_3990',25,'67.03',14),
(293,10394,'S18_3232',22,'135.47',5),
(282,10280,'S10_1949',34,'205.73',2),
(356,10109,'S18_1129',26,'117.48',4),
(314,10245,'S18_4600',21,'111.39',3),
(353,10270,'S32_1268',32,'93.42',1),
(382,10416,'S700_3167',39,'65.60',10),
(124,10113,'S18_4668',50,'43.27',3),
(334,10267,'S18_4933',36,'71.27',1),
(259,10178,'S18_3029',41,'70.54',10),
(456,10229,'S18_2319',26,'104.32',4),
(177,10230,'S50_1514',43,'57.41',2),
(293,10264,'S18_3782',48,'58.44',3),
(409,10306,'S18_4027',23,'126.39',16),
(386,10386,'S24_3420',35,'54.57',9),
(452,10394,'S18_4027',37,'124.95',1),
(237,10284,'S700_2466',45,'95.73',8),
(385,10358,'S24_4258',41,'88.62',6),
(145,10246,'S18_3232',36,'145.63',9),
(172,10360,'S18_3856',40,'101.64',15),
(362,10325,'S24_4048',44,'114.73',5),
(198,10326,'S24_2011',41,'120.43',4),
(219,10388,'S12_2823',44,'125.01',6),
(121,10360,'S24_3816',22,'78.83',4),
(450,10360,'S700_3962',31,'92.36',10),
(335,10157,'S700_2834',48,'109.16',2),
(475,10181,'S24_1628',34,'45.28',1),
(276,10181,'S18_1129',44,'124.56',6),
(495,10344,'S24_1046',29,'61.00',7),
(175,10401,'S700_1691',11,'77.64',8),
(209,10143,'S700_3167',28,'70.40',3),
(335,10301,'S24_1046',27,'64.67',1),
(161,10244,'S18_3136',29,'85.87',2),
(350,10380,'S24_2766',36,'77.24',6),
(151,10390,'S18_2795',26,'162.00',7),
(171,10316,'S700_3167',48,'77.60',5),
(456,10104,'S18_3232',23,'165.95',13),
(242,10278,'S24_3856',25,'136.22',9),
(311,10126,'S10_1949',38,'205.73',11),
(406,10100,'S18_1749',30,'136.00',3),
(412,10178,'S700_4002',45,'68.11',2),
(121,10249,'S18_3856',46,'88.93',5),
(496,10278,'S24_2972',31,'37.38',8),
(278,10100,'S24_3969',49,'35.29',1),
(347,10350,'S32_3207',27,'61.52',14),
(471,10165,'S18_2238',29,'134.26',11),
(333,10424,'S18_1097',54,'108.50',5),
(189,10282,'S50_1392',38,'114.59',12),
(167,10206,'S18_4668',21,'45.78',4),
(321,10373,'S24_3151',33,'82.31',12),
(398,10411,'S12_1666',40,'110.70',6),
(412,10166,'S700_1938',29,'76.22',3),
(273,10373,'S700_2610',41,'69.39',16),
(381,10380,'S24_3191',44,'77.05',9),
(204,10414,'S24_3816',51,'72.96',2),
(480,10284,'S24_3420',39,'59.83',13),
(475,10178,'S24_3816',21,'68.77',11),
(323,10196,'S50_1514',46,'56.82',7),
(307,10234,'S10_4757',48,'118.32',9),
(303,10106,'S700_2466',34,'99.72',9),
(175,10174,'S10_1949',34,'207.87',4),
(177,10172,'S24_1046',32,'61.00',3),
(273,10163,'S18_3136',40,'101.58',3),
(141,10388,'S32_4289',35,'58.47',8),
(321,10193,'S18_1749',21,'153.00',14),
(141,10184,'S32_1268',46,'84.75',13),
(462,10230,'S50_1392',34,'100.70',7),
(489,10222,'S24_3816',46,'77.99',11),
(458,10276,'S50_4713',21,'67.53',11),
(452,10230,'S24_1444',36,'47.40',6),
(353,10154,'S700_2610',36,'59.27',1),
(415,10145,'S24_1578',43,'103.68',7),
(144,10301,'S24_2972',48,'32.10',10),
(167,10314,'S12_3148',46,'125.40',6),
(321,10149,'S24_3969',26,'38.57',9),
(211,10103,'S18_1097',35,'94.50',10),
(114,10295,'S700_2610',44,'71.56',2),
(204,10367,'S18_4409',43,'77.31',8),
(424,10285,'S32_4485',26,'100.01',4),
(334,10253,'S18_1889',23,'67.76',9),
(119,10186,'S700_2047',24,'80.56',5),
(465,10342,'S18_1889',55,'63.14',1),
(239,10227,'S18_1749',26,'136.00',10),
(319,10410,'S18_2795',56,'145.13',8),
(409,10238,'S12_3990',20,'73.42',4),
(240,10396,'S24_3816',37,'77.99',8),
(278,10279,'S18_4933',26,'68.42',1),
(382,10321,'S18_2870',27,'126.72',7),
(447,10368,'S24_3969',46,'36.52',3),
(259,10370,'S12_1666',49,'128.47',8),
(186,10305,'S18_2319',36,'117.82',8),
(144,10401,'S24_3949',64,'59.37',12),
(293,10210,'S700_1691',21,'87.69',12),
(412,10163,'S18_2949',31,'101.31',2),
(307,10249,'S24_3420',25,'65.75',2),
(462,10266,'S12_4675',40,'112.86',11),
(320,10403,'S32_2206',30,'35.80',2),
(459,10210,'S32_4289',39,'57.10',10),
(202,10146,'S18_4721',29,'130.94',1),
(448,10312,'S24_2022',23,'43.46',12),
(259,10148,'S24_1046',25,'65.41',6),
(350,10400,'S24_2841',24,'55.49',2),
(242,10210,'S18_2625',40,'51.48',3),
(314,10380,'S18_4933',24,'66.99',2),
(406,10192,'S24_2766',46,'86.33',2),
(450,10205,'S24_2022',24,'36.74',4),
(239,10395,'S12_1108',33,'205.72',1),
(320,10262,'S700_2466',33,'81.77',6),
(455,10275,'S700_3167',43,'72.00',15),
(256,10305,'S32_1268',28,'94.38',12),
(398,10404,'S24_3371',49,'53.27',2),
(206,10372,'S12_3148',40,'146.55',4),
(376,10178,'S18_3856',48,'104.81',9),
(293,10192,'S18_3232',26,'137.17',12),
(319,10191,'S24_3371',48,'53.27',2),
(477,10222,'S18_3856',45,'88.93',9),
(311,10328,'S50_1341',34,'42.33',7),
(209,10375,'S24_2000',23,'67.03',9),
(486,10193,'S24_4258',20,'92.52',4),
(424,10121,'S12_2823',50,'126.52',4),
(458,10184,'S18_3232',28,'165.95',10),
(324,10217,'S10_4962',48,'132.97',4),
(462,10259,'S50_1392',29,'105.33',2),
(409,10391,'S18_1342',35,'102.74',2),
(321,10208,'S24_3151',20,'80.54',2),
(177,10367,'S18_2325',27,'124.59',5),
(409,10276,'S24_4620',48,'67.10',7),
(250,10110,'S24_3969',48,'35.29',5),
(249,10182,'S18_3320',33,'86.31',1),
(168,10104,'S24_2840',44,'30.41',10),
(347,10106,'S700_4002',48,'70.33',10),
(167,10227,'S18_1342',25,'85.27',3),
(356,10149,'S18_3320',42,'89.29',2),
(473,10135,'S32_2206',33,'38.62',14),
(206,10371,'S24_2840',45,'35.01',8),
(303,10315,'S18_4522',36,'78.12',7),
(328,10308,'S32_4289',46,'61.22',10),
(357,10386,'S24_3949',41,'55.96',12),
(489,10284,'S24_2841',30,'65.08',12),
(376,10208,'S700_3505',37,'95.16',4),
(282,10279,'S24_1046',32,'68.35',5),
(129,10339,'S24_3420',29,'57.86',14),
(406,10339,'S18_2581',27,'79.41',2),
(209,10275,'S10_4698',36,'154.93',3),
(171,10196,'S12_3891',38,'147.07',4),
(209,10191,'S18_3482',23,'119.06',5),
(204,10173,'S24_4258',22,'93.49',3),
(456,10138,'S18_4409',47,'79.15',7),
(350,10375,'S32_1374',37,'87.90',3),
(242,10221,'S18_4522',39,'84.26',2),
(175,10170,'S24_3856',34,'130.60',1),
(335,10399,'S10_1678',40,'77.52',8),
(484,10195,'S24_2840',32,'31.82',7),
(249,10113,'S12_1666',21,'121.64',2),
(299,10335,'S32_1268',44,'77.05',1),
(103,10172,'S18_1589',42,'109.51',6),
(381,10138,'S18_1749',33,'149.60',6),
(145,10347,'S18_2432',50,'51.05',8),
(181,10333,'S32_3522',33,'62.05',4),
(379,10361,'S24_4278',25,'68.83',1),
(177,10308,'S700_1691',21,'73.07',12),
(177,10350,'S700_1138',46,'56.00',11),
(328,10270,'S18_4600',38,'107.76',3),
(459,10367,'S24_1628',38,'50.31',11),
(240,10342,'S18_3782',26,'57.82',8),
(233,10386,'S700_3962',30,'80.44',3),
(121,10127,'S12_3891',42,'169.56',1),
(353,10175,'S32_1268',22,'89.57',8),
(249,10194,'S24_2300',49,'112.46',1),
(227,10354,'S12_4675',28,'100.19',13),
(348,10177,'S700_3505',44,'88.15',4),
(177,10296,'S700_2047',34,'89.61',11),
(320,10223,'S700_1691',25,'84.03',14),
(334,10305,'S50_1392',42,'109.96',3),
(398,10268,'S18_2248',31,'60.54',9),
(347,10212,'S18_3232',40,'155.79',11),
(131,10374,'S24_1785',46,'107.23',3),
(205,10208,'S18_4522',45,'72.85',8),
(459,10399,'S10_4698',22,'156.86',6),
(209,10336,'S18_3140',48,'135.22',12),
(379,10148,'S18_2870',27,'113.52',10),
(475,10367,'S18_1589',49,'105.77',1),
(216,10246,'S24_2840',49,'34.65',6),
(141,10117,'S12_1108',33,'195.33',9),
(450,10229,'S18_4668',39,'43.77',14),
(259,10207,'S10_4962',31,'125.58',15),
(455,10322,'S18_1342',43,'92.47',14),
(125,10248,'S700_2610',32,'69.39',4),
(131,10373,'S700_1138',44,'58.00',14),
(409,10134,'S10_2016',27,'116.56',5),
(356,10322,'S12_1666',27,'136.67',9),
(356,10114,'S24_2300',21,'102.23',5),
(307,10354,'S18_2625',28,'49.06',10),
(204,10175,'S18_2319',48,'101.87',4),
(260,10367,'S24_1046',21,'72.76',10),
(177,10211,'S18_4721',41,'148.80',7),
(233,10401,'S24_1785',38,'87.54',5),
(459,10173,'S18_1749',24,'168.30',13),
(480,10135,'S18_3278',45,'65.94',10),
(201,10361,'S700_3167',44,'76.80',10),
(477,10302,'S18_4933',23,'70.56',3),
(415,10306,'S12_1108',31,'182.86',13),
(189,10110,'S18_2248',32,'51.46',6),
(369,10288,'S24_3432',41,'101.73',12),
(471,10271,'S24_1444',45,'49.71',2),
(121,10311,'S18_4409',41,'92.03',1),
(256,10251,'S24_1578',50,'91.29',3),
(187,10103,'S18_3320',46,'86.31',16),
(211,10346,'S24_3191',24,'80.47',2),
(382,10391,'S18_2432',44,'57.73',5),
(344,10141,'S24_4048',40,'104.09',1),
(471,10193,'S18_2949',28,'87.13',1),
(489,10275,'S24_4278',27,'67.38',10),
(201,10310,'S18_3232',48,'159.18',3),
(477,10204,'S24_2887',42,'112.74',7),
(335,10143,'S24_3420',33,'59.83',9),
(114,10159,'S24_1578',44,'100.30',15),
(412,10168,'S24_4278',48,'68.10',10),
(475,10145,'S24_2360',27,'56.10',3),
(171,10172,'S18_2870',39,'117.48',7),
(141,10282,'S50_1514',37,'56.24',7),
(260,10282,'S24_4048',39,'96.99',10),
(273,10413,'S32_3207',24,'56.55',6),
(227,10200,'S32_1374',35,'80.91',1),
(307,10375,'S24_4278',43,'60.13',2),
(415,10414,'S700_3505',28,'84.14',7),
(233,10214,'S18_1749',30,'166.60',7),
(455,10393,'S18_2238',20,'137.53',11),
(128,10224,'S12_2823',43,'141.58',6),
(278,10314,'S12_1108',38,'176.63',5),
(168,10407,'S18_1589',59,'114.48',11),
(145,10320,'S12_3990',38,'63.84',4),
(148,10416,'S24_4278',48,'70.28',5),
(319,10419,'S12_1099',12,'182.90',13),
(227,10170,'S12_4675',41,'93.28',3),
(145,10370,'S18_4600',29,'105.34',6),
(168,10326,'S24_3151',41,'86.74',3),
(247,10258,'S12_1666',41,'133.94',3),
(299,10266,'S18_2870',20,'113.52',3),
(151,10153,'S12_1108',20,'201.57',11),
(175,10361,'S50_1341',33,'35.78',3),
(347,10155,'S24_3816',37,'76.31',12),
(181,10331,'S32_2206',28,'33.39',3),
(167,10237,'S10_1678',23,'91.87',7),
(471,10261,'S24_3151',22,'79.66',3),
(119,10122,'S24_2972',39,'34.74',4),
(141,10110,'S18_4409',28,'81.91',8),
